index,text
D87,"['pov', 'nativ', 'play', 'donda', 'academi', 'kanyewest', 'kany', 'http', 'co', 'lbkmp4nt6p']"
D88,"['one', 'k4s', 'ent', 'hflmag', 'cover', 'featur', 'rezasarrafieh', 'memor', 'moment', 'work', 'rocnat', 'lilnasx', 'snohalegrah', 'djkhale', 'rnb', 'hiphop', 'rocnat', 'vicmensa', 'jcole', 'kany', 'hflmag', 'http', 'co', 'hr63qxp0yj', 'http', 'co', 'xdpfiuphi7']"
D89,"['last', 'year', 'pant', 'simpl', 'kany', 'west', 'orgi']"
D90,"['click', 'imag', 'shop', 'http', 'co', '5tspype5lb', 'discount', 'price', 'fast', 'amp', 'insur', 'worldwid', 'ship', 'kany', 'kanyewest', 'kanyelov', 'kanyeweststyl', 'http', 'co', 'wmoqswiusi']"
D91,"['andicougevan', '7veritas4', 'agre', 'also', 'kany', 'enter', 'thread', 'http', 'co', 'l8un3wanfc']"
D92,"['stand', 'kany', 'shit', 'much', 'differ', 'kany', 'got', 'cancel', 'someon', 'call', 'map', 'pedophil', 'hire', 'mfer', 'hire', 'po', 'like', 'gunn', 'firejamesgunn', 'wbd', 'must', 'like', 'pedo', 'fuckpedogunn', 'toallpedo', 'http', 'co', '8dptsaeoq3']"
D93,"['adida', 'ever', 'withdrawn', 'collabor', 'balenciaga', 'pedophil', 'scandal', 'betray', 'persecut', 'steal', 'kany', 'say', 'genocid', 'murder', 'also', 'deserv', 'love', 'yes', 'adidasus', 'pedophil', 'gt', 'christian', 'welcom', 'hell']"
D94,"['kany', 'west', 'quot', 'day', '2024', 'kany', 'west', 'kanyewest', 'ye', 'oftheday', 'otd', 'http', 'co', 'xwi3p0me24']"
D95,"['elonmusk', 'shefvaidya', 'twitter', 'verifi', 'rw', 'opportunist', 'cc', 'worth', 'investig', 'kany', 'total', 'ban', 'twitter', 'nazi', 'sympathis']"
D96,"['yall', 'got', 'ta', 'chill', 'ye', 'nazi', 'thing', 'even', 'wors', 'ye', 'ye24', 'kanyewest', 'kany']"
D97,"['sixer', 'littl', 'tone', 'deaf', 'late', 'new', 'stadium', 'chinatown', 'etc', 'littl', 'advic', 'fave', 'team', 'mayb', 'play', 'kany', 'music', 'loudspeak', 'jewish', 'heritag', 'hanukkah', 'celebr', 'night', 'yes', 'soon']"
D98,"['808beat', 'frequenc', 'pitch', 'hiphop', 'beat', 'sound', 'ye', 'kany', 'vibe', 'http', 'co', 'olijsfmx4v']"
D99,"['wive', 'sell', 'face', 'cream', 'kany', 'http', 'co', 'mwtiprcmqb']"
D100,"['shoot', 'babi', 'if', 'and', 'mayb', 'kany', 'http', 'co', 'ruwjzqfm9q']"
D101,"['elder', 'time', 'need', 'find', 'presid', 'mean', 'necessari', 'kany', 'http', 'co', 'ehqzziz5g3']"
