index,text
D98,"['808beats', 'frequency', 'pitch', 'hiphop', 'beats', 'sound', 'ye', 'kanye', 'vibes', 'https', 'co', 'olijsfmx4v']"
D99,"['wives', 'sell', 'face', 'cream', 'kanye', 'https', 'co', 'mwtiprcmqb']"
D100,"['shooting', 'baby', 'ifs', 'ands', 'maybe', 'kanye', 'https', 'co', 'ruwjzqfm9q']"
D101,"['elders', 'time', 'needed', 'find', 'president', 'means', 'necessary', 'kanye', 'https', 'co', 'ehqzziz5g3']"
D102,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'kanyewest', 'teamkanyedaily', 'memelyxyz', 'kanye', 'elonmusk', 'twitter', 'viralvideo', 'kanyememe', 'memely', 'https', 'co', '7hffngvrfc']"
D103,"['thing', 'president', 'anymore', 'kanye', 'https', 'co', 'x7dswb82pd']"
D104,"['elon', 'blocks', 'laughs', 'friends', 'kanye', 'https', 'co', 'aw09ip3xdv']"
D105,"['antisemitic', 'attacker', 'yells', 'kanye', '2024', 'central', 'park', 'assault', 'police', 'say', 'washington', 'post', 'https', 'co', 's7t5tspcxn']"
D106,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'ayqn9u7tju']"
D107,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'dot3yhca78']"
D108,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'tgtfvzjs1p']"
D109,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'rujzsad1xo']"
D110,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'dvjbvg8me3']"
D111,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'mm2nd4r3wp']"
D112,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'yxfmhqytpz']"
D113,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'hhjnzxhwzp']"
D114,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'vkv8ohdfsq']"
D115,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'ffjru4nszh']"
D116,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'amjwsb2cyh']"
D117,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'oiao24sbew']"
D118,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'sqmhipqbzd']"
D119,"['kanye', 'west', 'reaction', 'twitter', 'suspension', 'kanye', 'memely', 'memelyxyz', 'https', 'co', 'ondrrjzuuo']"
D120,"['realdonaldtrump', 'four', 'years', 'leave', 'kanye', 'point']"
D121,"['credit', 'andrew', 'knight', 'toohotforfacebook', 'memes', 'meme', 'shitpost', 'shitposts', 'shitposting', 'thesimpsons', 'globexcorporation', 'thesimpsonsmemes', 'simpsonsmemes', 'seinfeld', 'seinfeldmemes', 'kanye', 'kanyewest', 'hitlermemes', 'hitler', 'nazimemes', 'nazis', 'neinfeld', 'holocaust', 'holocaustmemes', 'https', 'co', 'ybua1whx2k']"
D122,"['happened', 'kanye', 'fall', 'face', 'earth']"
D123,"['dophe1', 'sizwelo', 'kanye', 'black', 'trump', 'amp', 'things', 'really', 'different']"
D124,"['fake', 'media', 'brands', 'ie', 'balenciaga', 'ye', 'hip', 'hop', 'move', 'stocks', 'crypto', 'kanye', 'balenciagagate', 'crypto', 'stockmarket', 'simpsons', 'https', 'co', '3hvfqq00b1']"
D125,"['pov', 'kanye', 'west', 'suspended', 'twitter', 'elon', 'musk', 'kanyewest', 'teamkanyedaily', 'memelyxyz', 'kanye', 'elonmusk', 'elonmeme', 'viralvideo', 'kanyememe', 'memely', 'https', 'co', 'gmsav5ohsw']"
D126,"['kimkardashian', 'exes', 'fast', 'food', 'commercials', 'except', 'kanye']"
